"TSM-06","agent2","medium","paused parent selection","backend/app/services/stopwatch_manager.py","Stopping an interruption child can return wrong paused parent.","Recovery toast can point to wrong task.","Query picks any paused open session not current task.","Have two paused sessions; stop child with known parent_task_id.","Prefer task.parent_task_id session, deterministic fallback.","Backend: paused_parent is actual parent.","no","open"
"TSM-07","agent2","medium","interruption semantics","frontend/app/(app)/today/page.tsx; backend/app/services/stopwatch_manager.py","Starting while current timer is paused records interruption_type unknown.","Context-switch/open-thread analytics overcount unknown interruptions.","Paused-parent path bypasses interruption dialog/type selection.","Start A, pause A, start B without type.","Require type or controlled value paused_context_switch.","Backend/browser: paused start records explicit type.","no","open"
"MI-001","agent3","high","insight clean profile","backend/app/api/v1/endpoints/analytics.py; backend/app/services/cortex.py; backend/app/core/output_surface_registry.json","Insights can render from dirty/retro/imported/auto-closed rows.","Published insights overstate data validity.","Endpoint reimplements eligibility and omits full Cortex clean-profile predicates.","Seed dirty executed rows; call /analytics/insights.","Route insight task selection through shared clean-profile query.","API: dirty rows do not trigger insights; browser suppresses card.","yes","open"
"MI-002","agent3","high","bias lookup cleanliness","backend/app/api/v1/endpoints/analytics.py; backend/app/services/bias_factor_service.py","Create/edit estimate nudge can use dirty personal history.","Calibration and occupancy suggestions become invalid.","Lookup passes partially filtered tasks into blend without clean session provenance.","Seed executed no-stopwatch/auto-closed overrun rows; call lookup.","Use planning_calibration_query plus exposure filtering.","API: dirty rows cannot produce personal source nudge.","yes","open"
"MI-003","agent3","high","deadline shape dirty outcomes","backend/app/workers/jobs/reconcile_deadline_outcomes.py; backend/app/api/v1/endpoints/analytics.py","Deadline-shape stats can count repaired stale executions.","Deadline-distance research claims become polluted.","Outcome publication filters task state but not clean execution provenance.","Create auto-closed deadline-bound executed task/outcome; call deadline-shape.","Gate reconciliation/publication through clean measured execution.","Job/API tests exclude auto-closed/corrected outcomes.","yes","open"
"MI-004","agent3","medium","bias terminology","backend/app/api/v1/endpoints/analytics.py","bias_factor_observed can be negative for overrun.","Downstream analysis can invert overrun/underrun semantics.","Signed delta ratio named like canonical multiplier.","Seed planned 60 executed 90; inspect deadline-shape field.","Rename to signed_delta_ratio_observed or add multiplier field.","API asserts label/sign for overrun and underrun.","no","open"
"MI-005","agent3","medium-high","archetype profile mismatch","backend/app/services/archetype_proximity_service.py; backend/app/core/output_surface_registry.json; backend/app/api/v1/endpoints/analytics.py","Archetype card can become ready from duration ratios without self-report evidence.","Signal-target metadata does not match actual computation.","Registry says readiness/reflection but service uses executed/planned ratios.","Seed high-overrun tasks with no self-report; call archetype proximity.","Align registry targets or computation; use clean calibration query.","API: dirty/no-self-report rows keep card settling_in.","likely","open"
"F-01","agent4","high","deadline binding","backend/app/api/v1/endpoints/tasks.py; frontend/components/deadline-binding-dialog.tsx; backend/app/services/task_manager.py","Binding correction can attach task to completed/missed/skipped deadline.","Post-hoc binding can attach execution truth to terminal obligation.","Correction endpoint bypasses TaskManager bindable deadline validator.","POST deadline-binding to completed deadline.","Reuse bindable validator or filter planned/active only.","API rejects terminal deadlines; dialog omits terminal rows.","yes","backend_fixed_browser_pending"
"F-02","agent4","high","provider provenance UI","backend/app/services/moodle_submissions_sync.py; frontend/components/deadline-row.tsx; frontend/app/(app)/deadlines/page.tsx; frontend/components/pulse/PulseDeadlinesV2.tsx","Moodle WS backfilled deadlines can look native.","Users may treat external obligations as Lyra-native truth.","Frontend checks exact moodle_ics source only.","Seed moodle_ws_backfill deadline; view Today/Deadlines/Pulse.","Central provider display mapping; treat moodle* as external Moodle.","Browser: moodle_ws_backfill shows Moodle/source badge.","yes","backend_fixed_browser_pending"
"F-03","agent4","high","duplicate deadlines","backend/app/services/deadline_manager.py; docs/moodle_lms_integration.md","Manual and imported same deadline can coexist.","Pressure inflates; task attribution splits across duplicate obligations.","External upsert only keys provider UID and does not collide with native duplicate guard.","Create native deadline then import matching Moodle event.","Run native duplicate check on external create and surface/skip collision.","Backend/browser: native/imported exact duplicate is prevented or warned.","yes","backend_fixed_browser_pending"
"F-04","agent4","medium","integration degraded success","backend/app/api/v1/endpoints/moodle.py; frontend/components/integrations/MoodleConnectModal.tsx","Moodle connect can show Connected while sync.error exists.","Connection exposure/support state counts degraded connection as success.","Persisted connection success conflated with immediate sync success.","Mock connect ok with sync.error http_500.","Render degraded warning and audit status degraded.","Browser: sync.error returns warning not clean success.","no","open"
"F-05","agent4","medium","provider completion copy","backend/app/services/moodle_submissions_sync.py; frontend/components/integrations/MoodleConnectModal.tsx; frontend/components/integrations-section.tsx","Copy says auto-marks complete when submitted, but code also uses grade/sync-time fallback.","Completion timing may be provider-reported or sync-time, not human completion.","UI simplified external evidence into causal/temporal claim.","Moodle grade without submit timestamp marks deadline completed at sync time.","Copy says Moodle reports submitted or graded; expose provenance.","Snapshot/backend test for sync-time provenance visible.","no","backend_fixed_browser_pending"
"F-06","agent4","medium","calendar attendance source","backend/app/api/v1/endpoints/calendar.py; frontend/lib/calendar.ts","Client can create attendance rows for arbitrary external_source.","ExternalEventOutcome may not be actual Google Calendar self-report.","API trusts extensibility field.","POST attendance with fake_provider.","Constrain to google_calendar until more providers exist.","API rejects non-Google source.","no","open"
"A5-001","agent5","critical","notification loss","backend/app/api/v1/endpoints/notifications.py; backend/app/services/notification_queue.py; frontend/app/(app)/today/page.tsx","Pause/resume predictions can vanish without banner.","False no-response/exposure windows.","Queue lpop drains before render and Today status gates may block mount.","Queue resume_prediction with mismatched status; load Today.","Use peek/reserve/ack; preserve unrendered predictions.","Browser: mismatched notification is not lost.","yes","open"
"A5-002","agent5","high","Pulse notification host","frontend/app/(app)/pulse/page.tsx; frontend/app/(app)/today/page.tsx","Users on Pulse do not see queued notifications.","Interventions enqueued but not exposed to user.","Only Today polls pending notifications.","Enqueue reminder/overflow, stay on Pulse.","Move host to app shell or add shared host.","Browser: Pulse renders queued notification once.","yes","open"
"A5-003","agent5","critical","exposure ledger render mismatch","backend/app/workers/jobs/pause_prediction.py; backend/app/workers/jobs/resume_prediction.py; backend/app/workers/jobs/reminders.py; backend/app/workers/jobs/timer_overflow.py; frontend/components/toast.tsx","None obvious; exposure records can disagree with actual UI.","Exposure ledger overcounts unseen queued events and undercounts timer overflow.","Workers log/queue decisions without client render ack; timer overflow not registered.","Queue notification but do not render; inspect exposure rows.","Record decision at enqueue, render on client ack; register timer_overflow.","Browser/API: render ack creates exposure exactly once.","yes","open"
"A5-004","agent5","high","pause reason defaults","frontend/components/pause-prediction-banner.tsx; frontend/components/active-timer-banner.tsx; frontend/components/pulse/PulseFocusCard.tsx","Pause now can record intentional_break without explicit choice.","Pause reason distributions contaminated by UI default.","One-tap pause skips reason picker and sends default research field.","Click primary pause from prediction or Pulse pause; inspect POST body.","Require explicit reason or label button as intentional break.","Browser: pause reason sent only after explicit selection.","yes","open"
"A5-005","agent5","high","operator mirror noise","backend/app/core/config.py; backend/app/services/notification_queue.py; backend/app/services/output_surfaces.py","Operator receives high-volume redacted metadata for user notifications/render events.","Operator stream becomes surveillance-shaped and biases product decisions.","Mirroring default on and event-level rather than aggregate.","Enable cohort traffic; inspect operator queue volume.","Default off for cohort or aggregate/sample operator notices.","Backend: 20 user notifications produce max one aggregate.","yes","open"
"A5-006","agent5","medium","operator dedupe process local","backend/app/services/operator_notifier.py","Operator duplicates after restart/multi-process.","Alert fatigue and weak operational signal.","Cooldown stored in process memory.","Send same operator alert before/after restart.","Redis SET NX EX dedupe by source/severity/key.","Backend: two notifier instances queue one alert.","no","open"
"A5-007","agent5","medium","notification channel footgun","backend/app/api/v1/endpoints/notifications.py; frontend/lib/tasks.ts","Future web caller can omit channel and drain openclaw queue.","Internal alerts could leak or be consumed wrongly.","/pending defaults to openclaw.","Call /pending without channel from web token.","Split endpoints or require explicit channel.","Endpoint missing channel returns 400; web helper uses web endpoint.","partial","open"
"A6-001","agent6","high","SSRF provider fetch","backend/app/services/moodle_ics_sync.py; backend/app/api/v1/endpoints/moodle.py; backend/app/services/moodle_submissions_sync.py","Signed-in user can make backend fetch private/local URLs.","Hostile feeds can import bogus obligations and risk infra access.","URL shape validation is not network safety validation; redirects followed.","Preview/connect with localhost or metadata URL.","Reject private/link-local/loopback after DNS; HTTPS public runtime; redirect validation.","API rejects localhost, RFC1918, 169.254.169.254, redirect-to-private.","yes","backend_fixed_browser_pending"
"A6-002","agent6","high","export completeness","backend/app/api/v1/endpoints/users.py; frontend/app/(app)/settings/page.tsx; frontend/app/privacy/page.tsx","Export omits deadlines, pauses, feedback, external outcomes, exposure, email engagement.","Users cannot audit stored signals; privacy promises overstate export.","Hand-curated export list lacks registry.","Seed one row per user-owned table and export.","Central export/delete registry with redaction.","Backend/browser: export includes all registry sections.","yes","backend_fixed_browser_pending"
"A6-003","agent6","high","delete runtime residue","backend/app/api/v1/endpoints/users.py; backend/app/services/notification_queue.py; backend/app/utils/redis_client.py; backend/app/utils/tasks_range_cache.py; backend/app/utils/me_cache.py","After delete, Redis notifications/timer/cache can remain.","Deletion not complete; stale runtime state can reappear.","DB purge does not purge runtime keys/backups.","Seed Redis keys then delete account.","purge_user_runtime_state(uid) with known keys/patterns; align backup promise.","Backend: delete removes notification, stopwatch, me, range keys.","yes","backend_fixed_browser_pending"
"A6-004","agent6","medium-high","email telemetry governance","backend/app/api/v1/endpoints/email_engagement.py; backend/app/db/models.py","Email open/click telemetry not exported/deleted clearly.","Operational re-entry signals survive outside user-visible data surface.","Email engagement added outside export/delete registry.","Create EmailEngagementEvent; export/delete.","Decide retention; include/delete/anonymize per policy.","Backend: email event export/delete policy asserted.","conditional","closed"
"A6-005","agent6","high","credential plaintext","backend/app/db/models.py; backend/app/utils/encryption.py; backend/app/services/calendar_sync.py; backend/app/api/v1/endpoints/moodle.py","DB read exposes Google refresh tokens and Moodle iCal authtoken URLs.","External calendar/LMS compromise risk.","Fernet helper used for Moodle WS only, not Google/iCal.","Connect Google/Moodle iCal; inspect stored columns.","Encrypt Google refresh tokens and Moodle iCal URLs with legacy fallback.","Backend: stored values fernet-prefixed; legacy plaintext still works.","yes","backend_fixed_browser_pending"
"A6-006","agent6","medium-high","cohort gate","frontend/lib/auth.ts; backend/app/core/security.py","Any Google account can create a Lyra account.","Unknown users contaminate controlled cohort assumptions.","No invite/allowlist gate in NextAuth/backend provisioning.","Sign in with arbitrary Google account.","Env allowlist or invite table in frontend and backend.","Browser: non-allowlisted login rejected; allowlisted reaches app.","yes_if_controlled","open"
